strength_k,diameter,resolution_order,m,eigen_index,real_sigma,imag_sigma,abs_sigma,edge_fraction,radial_roughness
8.0,3.3,40,5,94,6.80694613276796e-11,0.0005222965309435529,0.0005222965309435574,0.02631061623551197,648.1369279167064
8.0,3.3,40,5,95,-5.512479136777396e-13,0.00046028760985120164,0.00046028760985120164,0.2806545665878242,1567.4458295718018
8.0,3.3,40,5,96,-1.2875202877710525e-14,-0.00040953306780530636,0.00040953306780530636,0.4073289732031565,1091.5399635896772
8.0,3.3,40,5,97,5.924057712655061e-13,0.0003679987046190568,0.0003679987046190568,0.22654024925613633,1964.659255111521
8.0,3.3,40,5,98,4.631200748611417e-14,-0.00033114888596681236,0.00033114888596681236,0.07084065179662156,1495.9246974140085
8.0,3.3,40,5,99,9.127270139322804e-12,0.00032058407896586136,0.0003205840789658615,0.02269212253768988,1573.750460211541
8.0,3.3,40,5,100,-1.1771315096423563e-11,-0.0002460678241968744,0.0002460678241968747,0.07188085439749112,1493.9061887463863
8.0,3.3,40,5,101,9.175507259857468e-12,-0.00020300043180600588,0.00020300043180600607,0.03185384623194917,1983.6483425151464
8.0,3.3,40,5,102,-7.686273221851824e-12,0.0002140593441752629,0.00021405934417526303,0.11596591827796558,1840.6170095924365
8.0,3.3,40,5,103,9.995879299736108e-13,-0.00014157606309869372,0.00014157606309869372,0.652233142064353,2287.8459691188955
8.0,3.3,40,5,104,-2.8970237656694314e-05,0.0001231708696390201,0.00012653196354090864,0.3288300276149,2111.179914866236
8.0,3.3,40,5,105,2.897023516652895e-05,0.00012317085840362675,0.00012653195203382527,0.32883050517904616,2111.1807502291977
8.0,3.3,40,5,106,6.860429802902126e-12,-0.00010010522683426816,0.00010010522683426837,0.5009922923591758,1935.6580585238464
8.0,3.3,40,5,107,-4.2387636778263365e-12,9.384158689096582e-05,9.38415868909659e-05,0.7954591276427304,3622.4085243821746
8.0,3.3,40,5,108,7.217841717379343e-06,-4.859365418464368e-05,4.9126779520683826e-05,0.5985504622438084,3311.6616580517566
8.0,3.3,40,5,109,-7.2178412923327705e-06,-4.8593654188163e-05,4.912677946171594e-05,0.5985504008808884,3311.6619301759515
8.0,3.3,40,5,110,-7.534597394306668e-06,2.8799741786555198e-05,2.976903231323696e-05,0.5975235574640873,5735.547631160588
8.0,3.3,40,5,111,7.534592385315634e-06,2.879973260251859e-05,2.97690221604511e-05,0.5975237381203459,5735.550514548909
8.0,3.3,40,5,112,4.909715869319674e-06,-7.475954420778257e-06,8.944003824854024e-06,0.7070086317413953,8789.907342154369
8.0,3.3,40,5,113,-4.909688073739639e-06,-7.475958623505343e-06,8.94399207970273e-06,0.7070080967691722,8789.892012491404
8.0,3.3,40,5,114,4.1542348324359554e-07,1.6506558765944396e-07,4.470160161108319e-07,0.6500395266461585,24583.370482049337
8.0,3.3,40,5,115,-4.154466946923514e-07,1.6505285047632742e-07,4.4703288422795105e-07,0.6500398319610154,24582.943816731247
8.0,3.3,40,5,116,2.5673175658351242e-21,1.4630102825304797e-07,1.4630102825304797e-07,0.4392859092523246,20865.726357278698
8.0,3.3,40,5,117,-5.807192420131387e-23,-2.7158053766794953e-08,2.7158053766794953e-08,0.5509527388949288,88316.25378673548
8.0,3.3,40,6,0,3.785138340070638e-18,3594113.89193077,3594113.89193077,0.9999999999579845,432296.6720520382
8.0,3.3,40,6,1,2.6968191592830537e-24,1083315.6475038503,1083315.6475038503,0.4184291916399116,350727.17696465657
8.0,3.3,40,6,2,-7.398839371359052e-25,-561543.6316031747,561543.6316031747,0.06776528944942954,290943.3326717447
8.0,3.3,40,6,3,-2.4321028801068963e-25,71334.85814408002,71334.85814408002,0.0003353327303012421,35564.63776334432
8.0,3.3,40,6,4,2.4469660811762906e-25,-38651.44330628709,38651.44330628709,0.00017075543627973174,35568.12793182733
8.0,3.3,40,6,5,-2.1167984440626856e-23,15319.255654665141,15319.255654665141,5.4788608635056346e-05,11923.896863940123
8.0,3.3,40,6,6,1.0411922605614094e-24,-8844.736951925834,8844.736951925834,0.0001259376178734876,11825.650885074003
8.0,3.3,40,6,7,-5.991463510158393e-20,-5595.330570135607,5595.330570135607,0.9999809308315263,21012.19140342047
8.0,3.3,40,6,8,-9.10349867147589e-20,5529.214486291623,5529.214486291623,0.9999148555334116,20662.125172194577
8.0,3.3,40,6,9,6.41702185683695e-23,5412.853909113028,5412.853909113028,0.012173740948926159,5754.737728127923
8.0,3.3,40,6,10,2.416705900577762e-22,-3354.781912317375,3354.781912317375,0.0008689664117743684,5555.492031170707
8.0,3.3,40,6,11,-8.942245512475287e-20,-2316.806947879695,2316.806947879695,0.9998882221974822,8391.012404133538
8.0,3.3,40,6,12,3.297840173615051e-22,2529.5766917315345,2529.5766917315345,0.005214396546384511,3348.47341736659
8.0,3.3,40,6,13,-6.421087116241331e-20,2280.3665426932466,2280.3665426932466,0.999875622908863,8284.209103210453
8.0,3.3,40,6,14,4.181533889883097e-22,-1679.4383128952672,1679.4383128952672,0.001075588601679735,3243.4006249212766
8.0,3.3,40,6,15,1.199035477637987e-22,1414.9253826042789,1414.9253826042789,0.0006014412611421323,2241.8250002716622
8.0,3.3,40,6,16,-6.531820019439667e-20,-1142.603127742557,1142.603127742557,0.9987632847326792,4109.591867852653
8.0,3.3,40,6,17,-8.190907310099277e-20,1130.7064778379565,1130.7064778379565,0.9987201351889697,4046.1532973213366
8.0,3.3,40,6,18,1.0722991489489505e-21,-999.6472538036257,999.6472538036257,0.0021313330670170378,2118.1197285039007
8.0,3.3,40,6,19,-1.63377940364846e-22,897.2286745525614,897.2286745525614,0.0018597528928519659,1610.2942525649194
8.0,3.3,40,6,20,-8.146286190210212e-20,-748.6475200670378,748.6475200670378,0.9872825394759501,2642.3219580635064
8.0,3.3,40,6,21,-6.264837374677452e-20,739.6026452503362,739.6026452503362,0.9860970224866942,2609.478340106047
8.0,3.3,40,6,22,1.0241978174993985e-21,-669.3294639008229,669.3294639008229,0.006556273230382097,1564.8832255883874
8.0,3.3,40,6,23,-1.1148749841778211e-21,624.3432668683298,624.3432668683298,0.002393936287236822,1263.6004243797408
8.0,3.3,40,6,24,-6.851342406491798e-20,510.11581967516076,510.11581967516076,0.8269980453009211,1768.9616124737454
8.0,3.3,40,6,25,-5.3429225827837724e-20,-513.5590952396285,513.5590952396285,0.8356921780380618,1790.3569526685778
8.0,3.3,40,6,26,3.3643263687866216e-20,-489.09667444680304,489.09667444680304,0.004057957071594149,1198.951371631422
8.0,3.3,40,6,27,1.244660859762967e-20,467.7560360157281,467.7560360157281,0.002915132119703311,1024.3513000543123
8.0,3.3,40,6,28,1.5463147101585326e-19,-403.23780669038564,403.23780669038564,0.4757609147322055,1365.8875793925322
8.0,3.3,40,6,29,9.223607142386829e-20,400.4182542693562,400.4182542693562,0.4599146842073117,1354.1698799335127
8.0,3.3,40,6,30,8.511572314375738e-20,-382.7335270853642,382.7335270853642,0.0397392470754323,1057.0796704749241
8.0,3.3,40,6,31,6.60501865403164e-20,372.9329098492067,372.9329098492067,0.02243409013117642,930.735360673097
8.0,3.3,40,6,32,-3.09395315238305e-19,329.5315605139304,329.5315605139304,0.23958416879642647,1029.069294344879
8.0,3.3,40,6,33,-5.792863754533278e-19,-330.3155361953185,330.3155361953185,0.2137966227292682,1030.9595479539948
8.0,3.3,40,6,34,1.098409648082472e-18,-316.3987838082373,316.3987838082373,0.14430707974086088,984.2619880000678
8.0,3.3,40,6,35,9.858105165643771e-19,312.705382175861,312.705382175861,0.1322004026359683,920.7872629643483
8.0,3.3,40,6,36,-1.8395103100726679e-19,-288.3017082851508,288.3017082851508,0.15895762211105077,932.9110679896656
8.0,3.3,40,6,37,-3.8949334989289e-19,286.1086499015019,286.1086499015019,0.1630899845187028,892.2960714076437
8.0,3.3,40,6,38,-1.0721027308784308e-18,-265.4550890956891,265.4550890956891,0.14859281031356258,853.54536470143
8.0,3.3,40,6,39,-8.509839661822708e-19,262.97782808215567,262.97782808215567,0.1477780377703874,807.9145248966847
8.0,3.3,40,6,40,8.815695405861689e-19,-242.74796360952666,242.74796360952666,0.14996560141136184,778.7511673347835
8.0,3.3,40,6,41,9.245506687037444e-19,240.41892081131172,240.41892081131172,0.14826850499612307,735.4652478225769
8.0,3.3,40,6,42,4.719365317500451e-19,-221.43034085061475,221.43034085061475,0.16343632362138652,706.739932897801
8.0,3.3,40,6,43,2.973955041809181e-19,219.06519371750423,219.06519371750423,0.1604249584371065,665.0417929776698
8.0,3.3,40,6,44,-1.3839375378069431e-18,-201.00362510202464,201.00362510202464,0.1747032147433262,637.9591079633816
8.0,3.3,40,6,45,-1.3200610157116589e-18,198.65077249522415,198.65077249522415,0.17249458342779736,597.9477864745564
