diameter,coupling,m,n_radial,quadrature_factor,real,imag,abs_sigma,residual,normalization_error,accessible_area_center,accessible_area_wall
3.3,20.75,8,32,8,-0.0008484467276847322,-0.0007723601886057629,0.0011473456805436014,2.510108516358213e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.0011781659696628026,0.0001497445378227945,0.0011876440875444353,6.550056559939698e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.000848446727749894,-0.0007723601876646809,0.0011473456799582782,1.5157819540700175e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-0.00013579235539776816,-0.001034458547385458,0.0010433331443231858,2.3217984305239505e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.00013579235281179443,-0.0010344585471588584,0.0010433331437619427,2.0501020479351666e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,1.089457071223636e-11,0.0008495956680245286,0.0008495956680245286,5.743349072227696e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-0.0005268838970887735,0.00011776983120851527,0.0005398855194893964,7.926177345934792e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-0.0003725265440064115,0.0003556207207746518,0.0005150166240361991,7.084686557143884e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.0005268839159237885,0.00011776983273272333,0.0005398855382033117,3.88953361279086e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.0003725265260126071,0.0003556207167689221,0.0005150166082547859,4.713678838281151e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,4.1742306375956784e-14,-0.0003627968008848815,0.0003627968008848815,2.796371391139494e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,6.264138710969094e-14,0.00013262480612705147,0.00013262480612705147,3.0185184977605516e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-0.0001038051332346918,3.821009334208212e-06,0.00010387543404580423,5.706775116297398e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,0.00010380513338363897,3.821009539303285e-06,0.00010387543420219491,3.3271317218525535e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.3683662440991215e-13,-5.544705870497648e-05,5.544705870497648e-05,3.91177888424571e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-2.5124173479966664e-15,2.613006777488728e-08,2.6130067774887404e-08,5.0487965577170375e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
3.3,20.75,8,32,8,-1.051434338258974e-19,2.8952310390308374e-06,2.8952310390308374e-06,4.2512938274961725e-17,4.440892098500626e-16,3.1136027064737424,1.3665617524672424
